available_bike_stands,surface_pressure,temperature,apparent_temperature,relative_humidity,precipitation
13,967.9,15.5,11.3,43,0.0
8,967.9,14.9,11.5,49,0.0
10,968.1,14.2,11.0,54,0.0
5,968.2,12.0,9.8,67,0.1
12,967.4,12.1,9.9,66,0.1
13,967.0,11.4,9.3,76,0.0
15,967.3,10.5,8.1,83,0.0
12,967.6,9.7,8.2,91,0.4
10,968.1,9.6,8.5,91,0.0
10,969.8,9.9,8.9,89,0.0
10,973.0,9.8,7.4,83,0.0
10,975.1,8.4,5.2,69,0.0
10,975.1,7.2,5.4,78,0.0
11,976.7,6.1,4.5,89,0.0
11,977.1,5.7,4.1,93,0.0
11,977.3,5.6,3.9,93,0.0
11,977.6,5.2,3.3,93,0.0
12,977.6,4.9,3.0,90,0.0
11,978.1,4.8,3.1,90,0.0
16,978.3,5.7,4.0,88,0.0
19,978.3,7.2,5.7,84,0.0
11,978.1,15.1,13.0,66,0.0
12,977.9,18.4,15.7,48,0.0
13,977.8,18.6,16.1,50,0.0
14,977.7,18.6,16.1,53,0.0
19,977.8,18.7,16.3,54,0.0
20,977.4,17.7,15.7,59,0.0
15,977.6,17.6,15.7,58,0.0
15,977.1,17.0,15.0,60,0.0
15,976.4,16.1,13.7,65,0.0
17,976.5,16.1,14.0,59,0.0
16,976.7,16.4,14.3,55,0.0
8,977.1,16.8,13.7,51,0.0
10,978.2,16.6,14.2,51,0.0
12,978.3,14.7,13.4,63,0.0
12,978.5,14.6,12.9,59,0.0
14,978.4,13.0,11.4,65,0.0
13,978.3,11.6,10.1,71,0.0
13,978.2,11.5,9.9,73,0.0
13,978.1,11.2,9.8,75,0.0
13,977.9,11.2,9.9,75,0.0
14,977.7,10.5,9.2,81,0.0
17,977.5,11.0,9.8,79,0.0
18,977.5,12.6,11.5,73,0.0
18,977.8,15.6,15.0,66,0.0
19,977.4,18.4,18.5,58,0.0
19,977.0,21.4,19.1,35,0.0
19,976.7,21.4,19.6,40,0.0
16,975.8,22.0,19.9,40,0.0
17,975.3,22.5,19.5,35,0.0
18,974.5,22.0,19.4,36,0.0
18,974.3,22.0,19.9,39,0.0
18,973.6,21.2,19.3,39,0.0
17,973.4,20.0,18.0,39,0.0
14,974.1,17.5,15.2,43,0.0
15,974.4,17.0,14.7,42,0.0
14,973.7,14.7,13.0,55,0.0
15,974.1,13.6,12.1,62,0.0
15,974.3,12.9,11.5,64,0.0
14,974.2,12.2,10.8,71,0.0
15,973.5,11.7,9.2,67,0.0
15,973.6,11.3,9.4,73,0.0
15,973.7,11.2,9.2,72,0.0
15,973.6,11.4,9.1,69,0.0
15,973.3,11.3,9.0,69,0.0
16,972.7,11.4,8.2,65,0.0
17,973.5,12.8,10.1,62,0.0
15,973.6,13.6,11.7,62,0.0
20,973.4,16.5,13.6,53,0.0
20,973.7,17.8,15.5,52,0.0
20,973.5,21.2,19.9,38,0.0
20,973.8,21.8,18.5,36,0.0
19,973.3,21.0,19.0,41,0.0
20,973.6,20.8,17.8,41,0.1
20,973.2,19.4,17.7,52,0.0
20,972.5,19.3,16.1,50,0.0
14,973.3,18.6,16.8,54,0.0
14,973.1,17.4,15.2,58,0.0
16,973.4,16.3,13.8,64,0.0
18,973.9,15.8,14.6,63,0.0
20,974.4,14.8,14.3,71,0.0
18,973.5,14.7,13.4,71,0.0
17,974.0,13.5,12.4,80,0.0
17,973.5,13.2,12.0,82,0.0
16,972.5,14.3,13.7,71,0.0
16,971.9,14.1,11.6,75,0.0
18,970.8,13.3,11.7,80,0.0
18,970.2,15.2,12.5,70,0.0
18,971.2,17.2,14.8,56,0.0
11,971.0,20.4,18.3,43,0.0
11,969.7,23.4,20.6,32,0.0
13,970.0,23.0,21.3,40,0.0
13,969.5,24.0,21.8,36,0.0
10,968.9,24.8,22.6,33,0.0
9,968.4,24.4,21.0,30,0.0
11,967.0,24.1,20.0,33,0.0
11,965.7,22.1,16.9,39,0.0
15,966.4,19.9,17.4,48,0.0
16,967.6,18.5,16.4,52,0.0
15,969.6,13.1,9.5,65,0.4
15,969.5,12.3,9.6,65,0.1
17,969.6,12.0,9.4,65,0.1
17,970.2,11.2,8.8,72,0.1
