date,number,name,address,bike_stands,available_bike_stands,available_bikes,lat,lon
2024-03-27 20:10:43,24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,15,5,46.54199,15.63831
2024-03-27 20:10:43,10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,10,10,46.557328,15.646833
2024-03-27 20:10:43,9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,16,4,46.558519,15.649072
2024-03-27 20:10:43,13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,17,3,46.561555,15.65692
2024-03-27 20:10:43,20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,16,5,46.554703,15.652826
2024-03-27 20:10:43,4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,3,17,46.558498,15.64146
2024-03-27 20:10:43,1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,5,17,46.562695,15.62935
2024-03-27 20:10:43,16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,1,19,46.559319,15.63498
2024-03-27 20:10:43,3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053
2024-03-27 20:10:43,21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,7,13,46.550683,15.639333
2024-03-27 20:10:43,6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,9,11,46.558924,15.644443
2024-03-27 20:10:43,22,DVORANA TABOR,Gorkega ulica 48,20,8,12,46.549005,15.635014
2024-03-27 20:10:43,14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023
2024-03-27 20:10:43,19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564
2024-03-27 20:10:43,25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329
2024-03-27 20:10:43,17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,9,11,46.553109,15.624098
2024-03-27 20:10:43,28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,6,14,46.556731,15.64212
2024-03-27 20:10:43,8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,17,3,46.56196,15.650235
2024-03-27 20:10:43,7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,10,10,46.560227,15.650781
2024-03-27 20:10:43,2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,11,11,46.561422,15.637118
2024-03-27 20:10:43,5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,7,9,46.56294,15.644185
2024-03-27 20:10:43,12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,10,10,46.558534,15.654739
2024-03-27 20:10:43,29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629
2024-03-27 20:10:43,15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,14,6,46.548853,15.645591
